Serge Abiteboul	books/aw/AbiteboulHV95
Richard Hull	books/aw/AbiteboulHV95
Victor Vianu	books/aw/AbiteboulHV95
Leslie Lamport	books/aw/Lamport86
Alfred V. Aho	books/aw/AhoHU74
John E. Hopcroft	books/aw/AhoHU74
Jeffrey D. Ullman	books/aw/AhoHU74
Leslie Lamport	books/aw/Lamport2002
Alfred V. Aho	books/aw/AhoHU83
John E. Hopcroft	books/aw/AhoHU83
Jeffrey D. Ullman	books/aw/AhoHU83
Philip M. Lewis	books/aw/LewisBK01
Arthur J. Bernstein	books/aw/LewisBK01
Michael Kifer	books/aw/LewisBK01
Alfred V. Aho	books/aw/AhoKW88
Brian W. Kernighan	books/aw/AhoKW88
Peter J. Weinberger	books/aw/AhoKW88
Tim Lindholm	books/aw/LindholmY97
Frank Yellin	books/aw/LindholmY97
Alfred V. Aho	books/aw/AhoSU86
Ravi Sethi	books/aw/AhoSU86
Jeffrey D. Ullman	books/aw/AhoSU86
Robert Sedgewick	books/aw/Sedgewick83
Ken Arnold	books/aw/ArnoldG96
James Gosling	books/aw/ArnoldG96
Robert Sedgewick	books/aw/Sedgewick88
Ken Arnold	books/aw/ArnoldG99
James Gosling	books/aw/ArnoldG99
Abraham Silberschatz	books/aw/SilberschatzG94
Peter Galvin	books/aw/SilberschatzG94
Ken Arnold	books/aw/ArnoldGH00
James Gosling	books/aw/ArnoldGH00
David Holmes	books/aw/ArnoldGH00
Donald E. Knuth	books/aw/Knuth86
Ricardo A. Baeza-Yates	books/aw/Baeza-YatesR99
Berthier A. Ribeiro-Neto	books/aw/Baeza-YatesR99
John F. Sowa	books/aw/Sowa84
Philip A. Bernstein	books/aw/BernsteinHG87
Vassos Hadzilacos	books/aw/BernsteinHG87
Nathan Goodman	books/aw/BernsteinHG87
Diomidis Spinellis	books/aw/Spinellis03
Elisa Bertino	books/aw/BertinoCZ2001
Barbara Catania	books/aw/BertinoCZ2001
Gian Piero Zarri	books/aw/BertinoCZ2001
Lincoln Stein	books/aw/Stein95
Elisa Bertino	books/aw/BertinoM93
Lorenzo Martino	books/aw/BertinoM93
W. Richard Stevens	books/aw/Stevens92
Ivan Bratko	books/aw/Bratko90
W. Richard Stevens	books/aw/Stevens94
Silvana Castano	books/aw/CastanoFMS95
Maria Grazia Fugini	books/aw/CastanoFMS95
Giancarlo Martella	books/aw/CastanoFMS95
Pierangela Samarati	books/aw/CastanoFMS95
W. Richard Stevens	books/aw/Stevens96
R. G. G. Cattell	books/aw/Cattell91
R. G. G. Cattell	books/aw/Cattell94
Bjarne Stroustrup	books/aw/Stroustrup86
Stefano Ceri	books/aw/CeriF97
Piero Fraternali	books/aw/CeriF97
Bjarne Stroustrup	books/aw/Stroustrup91
Patrick Chan	books/aw/Chan99
Pang-Ning Tan	books/aw/TanSK2005
Michael Steinbach	books/aw/TanSK2005
Vipin Kumar	books/aw/TanSK2005
Patrick Chan	books/aw/ChanL97
Rosanna Lee	books/aw/ChanL97
Gottfried Vossen	books/aw/Vossen90
Patrick Chan	books/aw/ChanL98
Rosanna Lee	books/aw/ChanL98
Gottfried Vossen	books/aw/Vossen94
Patrick Chan	books/aw/ChanLK98
Rosanna Lee	books/aw/ChanLK98
Douglas Kramer	books/aw/ChanLK98
Gottfried Vossen	books/aw/VossenW90
Kurt-Ulrich Witt	books/aw/VossenW90
Patrick Chan	books/aw/ChanLK99
Rosanna Lee	books/aw/ChanLK99
Douglas Kramer	books/aw/ChanLK99
Andreas S. Weigend	books/aw/WeigendG94
Neil A. Gerschenfeld	books/aw/WeigendG94
E. F. Codd	books/aw/Codd90
Steve Wilson	books/aw/WilsonK00
Jeff Kesselman	books/aw/WilsonK00
James Coplien	books/aw/Coplien92
Subrata Kumar Das	books/aw/Das92
Michael Wolfe	books/aw/Wolfe96
C. J. Date	books/aw/Date75
Gary R. Wright	books/aw/WrightS95
W. Richard Stevens	books/aw/WrightS95
C. J. Date	books/aw/Date77
George Kingsley Zipf	books/aw/Zipf49
C. J. Date	books/aw/Date81
C. J. Date	books/aw/Date83
C. J. Date	books/aw/Date84
C. J. Date	books/aw/Date86
C. J. Date	books/aw/Date90
C. J. Date	books/aw/Date95
C. J. Date	books/aw/DateD92
Hugh Darwen	books/aw/DateD92
C. J. Date	books/aw/DateD93
Hugh Darwen	books/aw/DateD93
C. J. Date	books/aw/DateD97
Hugh Darwen	books/aw/DateD97
C. J. Date	books/aw/DateW88
Colin J. White	books/aw/DateW88
C. J. Date	books/aw/DateW90
Colin J. White	books/aw/DateW90
Dorothy E. Denning	books/aw/Denning82
Margaret A. Ellis	books/aw/EllisS90
Bjarne Stroustrup	books/aw/EllisS90
A. J. Field	books/aw/FieldH88
Peter G. Harrison	books/aw/FieldH88
Georges Gardarin	books/aw/GardarinV89
Patrick Valduriez	books/aw/GardarinV89
Gerald Gazdar	books/aw/GazdarM89
Chris Mellish	books/aw/GazdarM89
David E. Goldberg	books/aw/Goldberg89
Adele Goldberg	books/aw/GoldbergR83
David Robson	books/aw/GoldbergR83
James Gosling	books/aw/GoslingJS96
William N. Joy	books/aw/GoslingJS96
Guy L. Steele Jr.	books/aw/GoslingJS96
David R. Hanson	books/aw/Hanson1995
Christopher W. Fraser	books/aw/Hanson1995
Andreas Heuer	books/aw/Heuer92
Andreas Heuer	books/aw/Heuer97
John E. Hopcroft	books/aw/HopcroftU79
Jeffrey D. Ullman	books/aw/HopcroftU79
Joseph JáJá	books/aw/JaJa92
Peter Jackson	books/aw/Jackson86
Peter Jackson	books/aw/Jackson90
Peter Jackson	books/aw/Jackson99
Brian W. Kernighan	books/aw/KernighanP99
Rob Pike	books/aw/KernighanP99
Donald E. Knuth	books/aw/Knuth68
Donald E. Knuth	books/aw/Knuth69
Donald E. Knuth	books/aw/Knuth73
Donald E. Knuth	books/aw/Knuth73a
Donald E. Knuth	books/aw/Knuth81
Stanley B. Lippman	books/aw/Lippman96
David G. Luenberger	books/aw/Luenberger73
Heikki Mannila	books/aw/MannilaR92
Kari-Jouko Räihä	books/aw/MannilaR92
John K. Ousterhout	books/aw/Ousterhout94
Marinus J. Plasmeijer	books/aw/PlasmeijerE93
Marko C. J. D. van Eekelen	books/aw/PlasmeijerE93
Michael Rabinovich	books/aw/RabinovichS01
Oliver Spatscheck	books/aw/RabinovichS01
Erhard Rahm	books/aw/Rahm94
Peter Ross	books/aw/Ross89
Gerard Salton	books/aw/Salton89
Hanan Samet	books/aw/Samet90
Marianne Baudinet	books/bc/tanselCGSS93/BaudinetCW93
Jan Chomicki	books/bc/tanselCGSS93/BaudinetCW93
Pierre Wolper	books/bc/tanselCGSS93/BaudinetCW93
James Clifford	books/bc/tanselCGSS93/CliffordC93
Albert Croker	books/bc/tanselCGSS93/CliffordC93
James Clifford	books/bc/tanselCGSS93/CliffordCT93
Albert Croker	books/bc/tanselCGSS93/CliffordCT93
Alexander Tuzhilin	books/bc/tanselCGSS93/CliffordCT93
Ramez Elmasri	books/bc/tanselCGSS93/ElmasriWK93
Gene T. J. Wuu	books/bc/tanselCGSS93/ElmasriWK93
Vram Kouramajian	books/bc/tanselCGSS93/ElmasriWK93
Ramez Elmasri	books/bc/tanselCGSS93/ElmasriWK93a
Gene T. J. Wuu	books/bc/tanselCGSS93/ElmasriWK93a
Vram Kouramajian	books/bc/tanselCGSS93/ElmasriWK93a
